tiempo,paso,n_part
5.685998,0.02,50
5.706998,0.021,50
5.725998,0.019,50
5.745998,0.02,50
5.765998,0.02,0
5.784998,0.019,0
5.804998,0.02,0
5.825998,0.021,0
5.8469977,0.021,0
5.865998,0.019,0
5.884998,0.019,0
5.9059978,0.021,0
5.923998,0.018,0
5.9459977,0.022,0
5.9669976,0.021,0
5.9859977,0.019,0
6.0049977,0.019,0
6.023998,0.019,0
6.0469975,0.023,0
6.0649977,0.018,0
6.0849977,0.02,0
6.1069975,0.022,0
6.1249976,0.018,0
6.1459975,0.021,0
6.1659975,0.02,0
6.1879973,0.022,1
6.2049975,0.017,1
6.2259974,0.021,1
6.2459974,0.02,1
6.2659974,0.02,1
6.2859974,0.02,1
6.3049974,0.019,1
6.3249974,0.02,1
6.3449974,0.02,1
6.3669972,0.022,1
6.3839974,0.017,1
6.4059973,0.022,1
6.426997,0.021,1
6.447997,0.021,1
6.466997,0.019,1
6.4849973,0.018,1
6.506997,0.022,1
6.5239973,0.017,2
6.546997,0.023,2
6.564997,0.018,2
6.586997,0.022,2
6.604997,0.018,2
6.624997,0.02,2
6.645997,0.021,2
6.665997,0.02,2
6.684997,0.019,2
6.706997,0.022,2
6.727997,0.021,2
6.744997,0.017,2
6.764997,0.02,2
6.784997,0.02,2
6.805997,0.021,2
6.823997,0.018,2
6.846997,0.023,2
6.865997,0.019,2
6.884997,0.019,2
6.905997,0.021,2
6.924997,0.019,2
6.944997,0.02,2
6.963997,0.019,2
6.9859967,0.022,2
7.004997,0.019,51
7.0269966,0.022,51
7.0449967,0.018,51
7.0669966,0.022,51
7.0849967,0.018,51
7.1069965,0.022,51
7.1269965,0.02,51
7.1469965,0.02,51
7.1659966,0.019,51
7.1869965,0.021,51
7.2069964,0.02,51
7.2259965,0.019,51
7.2469964,0.021,51
7.2669964,0.02,51
7.2839966,0.017,51
7.3039966,0.02,51
7.3269963,0.023,51
7.3469963,0.02,100
7.3649964,0.018,100
7.3849964,0.02,100
7.4059963,0.021,100
7.426996,0.021,100
7.447996,0.021,100
7.4649963,0.017,100
7.4859962,0.021,100
7.5039964,0.018,100
7.5249963,0.021,100
7.546996,0.022,100
7.566996,0.02,100
7.586996,0.02,100
7.606996,0.02,100
7.625996,0.019,50
7.644996,0.019,50
7.666996,0.022,50
7.686996,0.02,50
7.704996,0.018,50
7.727996,0.023,50
7.744996,0.017,50
7.764996,0.02,50
7.785996,0.021,50
7.806996,0.021,50
7.824996,0.018,51
7.845996,0.021,51
7.864996,0.019,51
7.884996,0.02,51
7.905996,0.021,51
7.9269958,0.021,51
7.944996,0.018,51
7.964996,0.02,1
7.984996,0.02,1
8.004996,0.02,1
8.025996,0.021,2
8.044996,0.019,2
8.066997,0.022,2
8.085997,0.019,2
8.104997,0.019,2
8.124997,0.02,2
8.144998,0.02,2
8.164998,0.02,2
8.1849985,0.02,2
8.205998,0.021,2
8.224998,0.019,2
8.244999,0.02,2
8.266999,0.022,2
8.287,0.02,2
8.304999,0.018,2
8.327999,0.023,2
8.345999,0.018,2
8.364999,0.019,2
8.385999,0.021,2
8.405999,0.02,2
8.426999,0.021,2
8.444999,0.018,2
8.464999,0.02,2
8.4869995,0.022,2
8.504999,0.018,2
8.525,0.02,2
8.545,0.02,2
8.565001,0.02,2
8.586,0.021,2
8.6050005,0.019,2
8.626,0.021,2
8.646001,0.02,51
8.667001,0.021,51
8.685,0.018,51
8.705001,0.02,51
8.725001,0.02,51
8.747002,0.022,51
8.765001,0.018,51
8.787002,0.022,51
8.805001,0.018,51
8.825002,0.02,51
8.845002,0.02,100
8.866002,0.021,100
8.887002,0.021,100
8.906002,0.019,100
8.924002,0.018,100
8.947001,0.023,100
8.965001,0.018,100
8.985002,0.02,100
9.005002,0.02,100
9.028002,0.023,100
9.045002,0.017,100
9.066002,0.021,100
9.087002,0.021,100
9.104002,0.017,100
9.125002,0.021,100
9.146002,0.021,100
9.165002,0.019,100
9.184002,0.019,100
9.205002,0.021,100
9.226002,0.021,100
9.246002,0.02,100
9.265002,0.019,50
9.288002,0.023,50
9.305002,0.017,50
9.325003,0.02,50
9.345003,0.02,50
9.365004,0.02,50
9.3860035,0.021,50
9.405004,0.019,50
9.425004,0.02,50
9.445004,0.02,50
9.467005,0.022,0
9.487005,0.02,0
9.504005,0.017,0
9.525005,0.021,0
9.545006,0.02,0
9.566006,0.021,0
9.587006,0.021,0
9.606006,0.019,0
9.626006,0.02,0
9.647006,0.021,0
9.6670065,0.02,0
9.687007,0.02,0
9.706007,0.019,0
9.727007,0.021,0
9.744007,0.017,0
9.769007,0.025,0
9.7850065,0.016,0
9.806006,0.021,0
9.8250065,0.019,0
9.847007,0.022,0
9.865006,0.018,0
9.885007,0.02,0
9.905007,0.02,0
9.926007,0.021,0
9.948008,0.022,0
9.967008,0.019,0
9.986008,0.019,0
10.006008,0.02,0
